Angle (rad) Run #1	Light Intensity (%) Run #1
0,000	53,5
0,000	53,4
-0,002	53,4
-0,002	53,3
-0,003	53,2
-0,003	53,2
-0,006	53,1
-0,006	53,0
-0,008	53,0
-0,009	52,8
-0,011	52,8
-0,014	52,7
-0,016	52,6
-0,016	52,6
-0,017	52,5
-0,019	52,5
-0,019	52,4
-0,020	52,3
-0,022	52,3
-0,024	52,2
-0,024	52,2
-0,025	52,1
-0,027	52,0
-0,028	52,0
-0,030	51,9
-0,031	51,8
-0,033	51,7
-0,035	51,6
-0,036	51,6
-0,038	51,4
-0,041	51,4
-0,042	51,3
-0,042	51,2
-0,044	51,2
-0,046	51,1
-0,047	51,0
-0,049	50,9
-0,050	50,9
-0,050	50,8
-0,052	50,8
-0,052	50,7
-0,053	50,6
-0,055	50,6
-0,055	50,6
-0,057	50,5
-0,057	50,5
-0,058	50,5
-0,058	50,4
-0,060	50,3
-0,061	50,2
-0,063	50,2
-0,064	50,1
-0,066	50,1
-0,066	49,9
-0,068	49,8
-0,068	49,8
-0,069	49,8
-0,069	49,7
-0,071	49,6
-0,072	49,6
-0,072	49,5
-0,074	49,5
-0,075	49,4
-0,075	49,3
-0,077	49,2
-0,080	49,1
-0,080	49,1
-0,082	49,0
-0,083	48,9
-0,086	48,8
-0,086	48,7
-0,088	48,7
-0,090	48,6
-0,091	48,6
-0,091	48,5
-0,093	48,5
-0,093	48,4
-0,094	48,4
-0,094	48,3
-0,096	48,3
-0,097	48,2
-0,099	48,1
-0,101	48,0
-0,101	48,0
-0,102	47,9
-0,104	47,8
-0,105	47,7
-0,107	47,6
-0,108	47,5
-0,110	47,4
-0,112	47,3
-0,113	47,2
-0,115	47,1
-0,118	46,9
-0,119	46,9
-0,121	46,7
-0,123	46,7
-0,124	46,6
-0,124	46,5
-0,126	46,4
-0,127	46,4
-0,129	46,2
-0,130	46,0
-0,134	45,9
-0,137	45,7
-0,140	45,5
-0,143	45,4
-0,145	45,3
-0,146	45,2
-0,148	45,1
-0,148	45,1
-0,149	45,1
-0,149	45,0
-0,151	44,9
-0,152	44,8
-0,152	44,8
-0,154	44,8
-0,154	44,8
-0,154	44,6
-0,156	44,5
-0,157	44,4
-0,159	44,3
