Angle (rad) Run #1	Light Intensity (%) Run #1
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.8
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.8
0.000	31.8
0.000	31.9
0.000	31.9
0.000	31.9
0.000	31.8
0.000	31.9
0.000	31.9
0.000	32.0
0.000	31.9
0.000	31.9
0.000	32.1
-0.002	32.1
-0.002	32.1
-0.002	32.2
-0.002	32.2
-0.002	32.3
-0.002	32.2
-0.002	32.5
-0.003	32.6
-0.005	32.9
-0.006	32.9
-0.006	32.9
-0.006	32.9
-0.006	33.0
-0.008	33.0
-0.008	33.1
-0.009	33.1
-0.011	33.2
-0.011	33.2
-0.011	33.2
-0.013	33.2
-0.013	33.2
-0.013	33.3
-0.014	33.2
-0.014	33.3
-0.014	33.3
-0.014	33.4
-0.016	33.4
-0.017	33.4
-0.017	33.4
-0.017	33.4
-0.019	33.4
-0.019	33.4
-0.019	33.5
-0.020	33.5
-0.020	33.5
-0.022	33.5
-0.022	33.6
-0.024	33.6
-0.024	33.7
-0.025	33.7
-0.027	33.7
-0.027	33.7
-0.027	33.8
-0.028	33.8
-0.028	33.8
-0.030	33.9
-0.033	34.0
-0.036	34.3
-0.039	34.3
-0.041	34.4
-0.044	34.5
-0.044	34.5
-0.046	34.5
-0.047	34.6
-0.049	34.6
-0.049	34.7
-0.050	34.7
-0.050	34.7
-0.050	34.7
-0.050	34.7
-0.050	34.7
-0.050	34.7
-0.050	34.7
-0.050	34.7
-0.050	34.8
-0.052	34.8
-0.052	34.8
-0.053	34.9
-0.053	34.9
-0.055	34.9
-0.055	35.0
-0.057	35.0
-0.058	35.1
-0.060	35.2
-0.061	35.2
-0.063	35.2
-0.064	35.3
-0.066	35.4
-0.068	35.5
-0.069	35.6
-0.072	35.6
-0.074	35.7
-0.074	35.8
-0.075	35.8
-0.077	35.8
-0.077	35.8
-0.077	35.8
-0.077	35.8
-0.079	35.9
-0.079	36.0
-0.080	35.9
-0.080	36.0
-0.082	36.0
-0.082	36.0
-0.082	36.0
-0.082	36.1
-0.083	36.1
-0.085	36.3
-0.088	36.4
-0.090	36.4
-0.091	36.5
-0.094	36.6
-0.096	36.6
-0.096	36.7
-0.097	36.7
-0.099	36.8
-0.101	36.9
-0.102	37.0
-0.104	37.1
-0.105	37.1
-0.108	37.3
-0.110	37.3
-0.110	37.3
-0.112	37.4
-0.112	37.5
-0.115	37.5
-0.116	37.6
-0.118	37.6
-0.118	37.6
-0.118	37.6
-0.118	37.6
-0.118	37.7
-0.119	37.7
-0.119	37.9
-0.123	38.0
-0.124	38.0
-0.126	38.1
-0.127	38.2
-0.129	38.2
-0.130	38.3
-0.132	38.4
-0.134	38.4
-0.135	38.5
-0.137	38.6
-0.138	38.8
-0.141	38.8
-0.143	38.9
-0.145	39.0
-0.146	39.1
-0.148	39.3
-0.151	39.3
-0.151	39.3
-0.152	39.4
-0.154	39.7
-0.156	39.7
-0.157	39.9
-0.159	40.0
-0.162	40.1
-0.163	40.1
-0.165	40.2
-0.165	40.2
-0.165	40.3
-0.168	40.4
-0.170	40.5
-0.171	40.5
-0.171	40.5
-0.171	40.5
-0.171	40.6
-0.173	40.7
-0.174	40.8
-0.176	40.8
-0.176	40.8
-0.178	40.9
-0.178	40.9
-0.178	40.9
-0.178	40.9
-0.178	41.0
-0.179	41.0
-0.179	41.1
-0.181	41.0
-0.181	41.0
-0.181	41.0
-0.181	41.1
-0.181	41.1
-0.181	41.2
-0.182	41.1
-0.182	41.2
-0.182	41.2
-0.184	41.3
-0.184	41.3
-0.184	41.2
-0.184	41.3
-0.185	41.4
-0.187	41.5
-0.187	41.6
-0.190	41.7
-0.192	41.9
-0.195	42.0
-0.196	42.0
-0.196	42.1
-0.198	42.1
-0.198	42.2
-0.199	42.4
-0.203	42.5
-0.204	42.6
-0.206	42.6
-0.206	42.6
-0.206	42.7
-0.207	42.8
-0.209	43.0
-0.210	43.1
-0.212	43.2
-0.214	43.3
-0.217	43.5
-0.218	43.6
-0.221	43.8
-0.225	44.0
-0.228	44.3
-0.231	44.4
-0.232	44.6
-0.236	45.0
-0.239	45.2
-0.240	45.3
-0.243	45.5
-0.247	45.7
-0.248	45.8
-0.251	46.0
-0.253	46.2
-0.254	46.3
-0.256	46.4
-0.258	46.6
-0.261	46.6
-0.261	46.7
-0.262	46.7
-0.262	46.8
-0.264	47.0
-0.265	47.1
-0.267	47.3
-0.270	47.4
-0.272	47.6
-0.273	47.7
-0.275	47.8
-0.276	47.9
-0.276	48.0
-0.280	48.1
-0.281	48.3
-0.283	48.5
-0.284	48.6
-0.286	48.7
-0.287	48.9
-0.291	49.1
-0.292	49.2
-0.292	49.2
-0.294	49.4
-0.295	49.5
-0.297	49.7
-0.298	49.8
-0.300	49.9
-0.302	50.1
-0.303	50.2
-0.303	50.3
-0.305	50.6
-0.306	50.7
-0.309	50.9
-0.311	51.1
-0.313	51.2
-0.314	51.3
-0.314	51.3
-0.316	51.4
-0.316	51.6
-0.319	51.8
-0.320	52.0
-0.324	52.4
-0.327	52.5
-0.328	52.8
-0.331	53.0
-0.333	53.2
-0.335	53.4
-0.336	53.5
-0.338	53.7
-0.341	53.9
-0.342	54.2
-0.344	54.3
-0.346	54.5
-0.347	54.7
-0.349	54.9
-0.352	55.1
-0.353	55.2
-0.355	55.5
-0.355	55.6
-0.358	55.8
-0.360	56.0
-0.361	56.2
-0.363	56.5
-0.366	56.7
-0.368	57.1
-0.371	57.4
-0.372	57.5
-0.375	57.8
-0.377	57.9
-0.377	58.1
-0.379	58.3
-0.380	58.5
-0.383	58.9
-0.386	59.2
-0.388	59.6
-0.391	59.8
-0.394	60.1
-0.396	60.3
-0.397	60.6
-0.399	60.8
-0.401	61.1
-0.404	61.3
-0.405	61.7
-0.408	61.9
-0.410	62.1
-0.412	62.2
-0.413	62.5
-0.415	62.6
-0.416	62.8
-0.418	63.0
-0.418	63.2
-0.419	63.5
-0.423	63.6
-0.423	63.8
-0.424	64.0
-0.426	64.0
-0.426	64.1
-0.427	64.4
-0.429	64.6
-0.430	64.9
-0.432	65.0
-0.434	65.2
-0.435	65.3
-0.435	65.5
-0.437	65.9
-0.440	66.2
-0.441	66.5
-0.443	66.8
-0.445	67.1
-0.448	67.4
-0.449	67.9
-0.452	68.3
-0.456	68.6
-0.457	68.9
-0.460	69.1
-0.460	69.4
-0.463	69.7
-0.465	70.0
-0.467	70.4
-0.470	70.6
-0.470	70.8
-0.471	71.0
-0.473	71.3
-0.474	71.6
-0.476	71.9
-0.478	72.1
-0.479	72.3
-0.481	72.4
-0.481	72.4
-0.481	72.4
-0.481	72.4
-0.481	72.4
-0.481	72.6
-0.482	72.9
-0.484	73.2
-0.485	73.5
-0.487	73.7
-0.489	74.0
-0.490	74.3
-0.493	74.6
-0.495	75.0
-0.496	75.4
-0.500	75.9
-0.501	76.4
-0.504	76.8
-0.506	77.0
-0.507	77.2
-0.509	77.6
-0.511	78.1
-0.514	78.6
-0.517	79.0
-0.518	79.5
-0.522	79.9
-0.523	80.3
-0.526	80.4
-0.526	80.6
-0.526	80.9
-0.529	81.1
-0.529	81.4
-0.531	81.9
-0.533	82.3
-0.536	82.8
-0.537	83.3
-0.540	83.8
-0.542	84.1
-0.543	84.4
-0.545	84.7
-0.547	85.1
-0.548	85.5
-0.551	86.1
-0.554	86.7
-0.556	87.3
-0.559	87.5
-0.559	87.7
-0.561	87.9
-0.561	88.1
-0.562	88.3
-0.564	88.6
-0.565	88.7
-0.565	88.9
-0.565	89.0
-0.567	89.3
-0.567	89.5
-0.569	90.0
-0.572	90.6
-0.573	91.2
-0.576	91.6
-0.578	91.9
-0.580	92.0
-0.580	92.3
-0.581	92.7
-0.583	93.4
-0.586	94.0
-0.587	94.7
-0.591	95.5
-0.594	96.1
-0.597	96.5
-0.598	96.8
-0.600	97.2
-0.602	97.7
-0.603	97.8
-0.605	97.8
-0.606	97.8
-0.606	97.8
-0.608	97.8
-0.609	97.8
-0.611	97.8
-0.613	97.8
-0.616	97.8
-0.617	97.8
-0.620	97.8
-0.622	97.8
-0.625	97.8
-0.627	97.8
-0.628	97.8
-0.630	97.8
-0.633	97.8
-0.635	97.8
-0.636	97.8
-0.638	97.8
-0.639	97.8
-0.639	97.8
-0.641	97.8
-0.642	97.8
-0.646	97.8
-0.647	97.8
-0.649	97.8
-0.650	97.8
-0.652	97.8
-0.653	97.8
-0.655	97.8
-0.657	97.8
-0.658	97.8
-0.658	97.8
-0.660	97.8
-0.661	97.7
-0.663	97.8
-0.664	97.8
-0.664	97.8
-0.664	97.8
-0.664	97.8
-0.664	97.8
-0.664	97.8
-0.664	97.8
-0.664	97.8
-0.664	97.8
-0.666	97.8
-0.668	97.8
-0.669	97.8
-0.669	97.8
-0.671	97.8
-0.671	97.8
-0.672	97.8
-0.674	97.8
-0.675	97.8
-0.675	97.8
-0.677	97.8
-0.677	97.8
-0.679	97.8
-0.679	97.8
-0.680	97.8
-0.680	97.8
-0.682	97.8
-0.682	97.8
-0.683	97.8
-0.685	97.8
-0.685	97.8
-0.686	97.8
-0.688	97.8
-0.690	97.8
-0.691	97.7
-0.693	97.8
-0.693	97.8
-0.694	97.8
-0.696	97.8
-0.697	97.8
-0.697	97.8
-0.699	97.8
-0.699	97.8
-0.701	97.8
-0.701	97.8
-0.702	97.8
-0.702	97.8
-0.704	97.8
-0.705	97.8
-0.707	97.8
-0.707	97.8
-0.707	97.8
-0.708	97.8
-0.708	97.8
-0.710	97.8
-0.710	97.8
-0.712	97.8
-0.712	97.7
-0.713	97.8
-0.713	97.8
-0.715	97.8
-0.716	97.8
-0.718	97.8
-0.719	97.8
-0.721	97.8
-0.724	97.8
-0.726	97.8
-0.727	97.8
-0.727	97.8
-0.729	97.8
-0.730	97.8
-0.732	97.8
-0.734	97.8
-0.734	97.8
-0.734	97.8
-0.735	97.8
-0.737	97.8
-0.737	97.8
